Epoch,Loss,Eval_Loss,Max_ΔP,Max_ΔQ,Epoch_Time,Elapsed_Time,Remaining_Time
1,1635.6424917702955,1637.99334427466,251.52467635629412,227.71220669934021,184.30999994277954,184.34899997711182,368513.6509542465
2,1640.2388143513886,1642.680935559937,251.40370727797279,230.70480936231314,168.7829999923706,353.1779999732971,352824.8219733238
3,1644.4828061878059,1646.3676582213893,251.30518791294253,233.05969203837537,171.5220000743866,524.7009999752045,349275.9656501611
4,1647.8812285942681,1649.6803088893328,251.20985635835493,235.19981107243672,172.1210000514984,696.8229999542236,347714.6769771576
5,1651.423164905403,1653.4717989508022,251.10178976063509,237.62651608312675,164.67300009727478,861.4969999790192,343737.30299162865
